num_rooms,num_people,housearea,is_ac,is_tv,is_flat,num_children,is_urban,units
3,3,742.57,1,1,1,2,0,134.731117
1,5,952.99,0,1,0,1,1,125.3155266
3,1,761.44,1,1,1,0,0,123.0478742
0,5,861.32,1,1,0,0,0,80.04616233
1,8,731.61,0,1,0,2,1,128.429094
0,5,837.24,0,1,1,2,1,145.2356595
4,5,679.04,0,1,0,1,1,117.482297
3,4,1044.65,0,0,1,2,1,119.3530759
2,4,713.9,1,0,0,0,1,127.795874
1,6,734.43,0,0,0,2,1,121.9196934
2,6,742.69,0,1,0,0,0,53.54195712
1,6,924.04,1,1,0,0,1,121.9407193
0,3,776.62,0,1,0,0,1,112.23891
2,4,990.59,0,1,1,0,1,123.9578976
2,7,870.61,0,1,0,1,1,140.6789161
1,5,747.02,0,1,0,0,1,105.1218477
3,5,699.01,0,0,1,3,0,110.2987691
2,8,932.84,1,1,0,1,1,148.3346033
4,4,573.69,0,1,0,1,0,85.44094582
3,1,901.33,0,1,1,2,1,134.6159436
1,6,902.07,1,1,0,1,0,140.2748376
3,4,686.59,0,1,1,1,1,118.6374244
1,4,860.28,0,0,0,0,1,112.413872
1,7,859.83,0,1,1,1,1,141.5829554
2,6,773.65,0,1,0,2,1,133.0058367
2,7,808.93,0,1,1,1,1,121.8689641
3,2,890.69,1,1,1,4,1,170.3183783
1,1,765.32,0,1,1,0,1,113.1632725
1,2,657.97,1,1,0,1,1,135.0367837
2,7,816.77,0,1,1,1,1,134.0485032
3,5,988.62,0,1,0,3,1,137.5112304
1,4,733.55,0,1,1,2,1,139.3648518
3,6,682.75,0,1,1,1,1,121.3452072
0,9,1009.31,1,1,0,2,0,172.0129438
2,7,764.79,1,1,1,0,1,143.8531159
2,6,643.52,0,1,0,1,1,112.9967939
2,5,554.38,0,0,1,0,0,75.13812712
3,5,823.05,0,1,0,0,1,122.6502054
1,4,640.25,0,1,0,0,1,115.2363482
4,5,689.76,1,0,0,0,0,84.03911736
2,5,813.69,0,1,1,1,1,122.7394056
1,3,821.69,1,1,0,1,1,138.2479255
3,3,664.68,1,0,1,2,1,155.2511248
2,3,1054.58,1,1,1,0,1,133.1659221
2,0,1042.81,0,0,1,0,0,57.4279305
3,5,929.46,0,1,1,1,1,120.1851474
1,4,673.08,1,0,1,2,0,158.190565
1,5,713.62,0,1,1,1,1,132.8997564
2,5,704.72,1,1,1,2,1,161.7956105
1,4,794.74,0,0,0,1,1,124.0210572
2,4,829.78,1,1,1,2,1,172.3459599
1,4,953.19,1,1,1,1,1,148.0216173
1,5,585.55,0,0,1,3,0,135.8659029
5,6,633.97,1,0,1,0,0,107.5793202
3,5,820.54,0,1,0,0,1,118.6564929
3,3,750.39,0,1,0,3,0,135.781534
2,2,672.37,1,1,1,1,1,146.4958598
2,4,685.43,0,1,0,0,1,102.9824029
3,2,662.29,0,1,0,2,0,102.8875405
1,6,725.53,0,1,0,3,0,134.5535478
1,0,878.69,0,1,1,2,1,148.7726266
3,7,898.5,1,1,0,2,1,168.0970426
3,7,893.27,0,1,0,1,1,132.6808605
3,7,533.3,0,1,1,0,1,128.3180374
1,8,518.49,1,1,0,0,1,130.6499479
3,7,794.89,1,1,0,2,0,161.2546614
2,8,711.53,0,0,0,1,0,73.93810361
2,6,1010.55,0,1,0,1,0,105.9052135
4,4,845.12,0,1,0,1,1,116.76906
1,7,714.65,1,1,0,1,0,136.3645858
1,5,704.64,0,1,1,0,1,124.4645895
2,2,690.69,0,1,1,0,1,129.2537159
1,2,704.75,0,1,1,0,0,93.89390096
2,4,873.04,1,1,0,1,0,126.3379948
1,4,862.83,0,1,1,2,1,128.0195439
4,6,534.35,0,1,1,0,1,125.3969205
2,5,666.23,0,1,0,1,0,79.04448221
3,8,780.66,1,0,1,1,1,137.0396056
2,6,700.32,1,1,0,2,1,146.8983438
2,6,388.17,0,1,1,1,1,132.4615871
3,6,637.24,1,1,1,0,0,95.58536236
2,3,868.51,0,1,0,0,1,123.6800229
2,5,956.49,1,1,1,1,0,154.0207977
3,8,613.67,0,1,0,0,0,65.76832522
2,5,556.77,0,1,1,0,0,104.130147
1,4,719.97,0,1,1,0,1,115.3586155
1,4,722.55,1,0,1,0,0,121.8553998
2,6,755.85,1,0,0,2,1,141.3594243
